Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,t,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,velocity.linear.x,velocity.linear.y,velocity.linear.z,velocity.angular.x,velocity.angular.y,velocity.angular.z,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,acc_bias.x,acc_bias.y,acc_bias.z,gyr_bias.x,gyr_bias.y,gyr_bias.z,jerk.x,jerk.y,jerk.z,snap.x,snap.y,snap.z,motors_0,motors_1,motors_2,motors_3
1743728855.2145035,16493,1743728855,209297895,world,1743728855.209298,-2.992971852565898,-2.999896634381126,1.157467379769496,0.0191101390106641,0.0290168888601663,0.72957018731267,-0.6830228140643807,0.0739581615470559,0.0374122035895208,-0.0069735985695961,0.1156808282169869,0.2143691132840981,0.028665460307281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.2243488,16494,1743728855,219457865,world,1743728855.219458,-2.9922234039788966,-2.9994992657166395,1.1573954453602886,0.0179098129386064,0.0286891379759853,0.7294642151800875,-0.6831823554032979,0.0727561098847183,0.0441696241588424,-0.0073936421058488,0.1136696413012056,0.22295318317023,0.0338222818395614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.2343037,16495,1743728855,229379654,world,1743728855.2293797,-2.9915046797647067,-2.999045035445524,1.1573211322495751,0.0167133327283005,0.0283334760601699,0.7293615695966961,-0.6833370906360234,0.0714550895311851,0.0505632001391038,-0.0077710137917937,0.1154847307378118,0.2334063606620881,0.0233932190599759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.2437456,16496,1743728855,239293098,world,1743728855.239293,-2.990799764814731,-2.9985283351991754,1.1572432286999306,0.0154743024675499,0.0279546376378282,0.7292817271196678,-0.6834670779833034,0.0700307748432038,0.0567412759951785,-0.0081121062456436,0.1151786087071667,0.239630490716057,0.022286356977426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.2541888,16497,1743728855,249296665,world,1743728855.249297,-2.990103043419642,-2.9979455408034053,1.1571612956801614,0.0142049727905628,0.0275421909249117,0.7292133607616427,-0.6835843188325678,0.0684653711291302,0.0627552482391268,-0.0084127218551904,0.1105853840718016,0.245205505957738,0.0141429089541314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.264473,16498,1743728855,259308338,world,1743728855.2593083,-2.989421746264549,-2.997302614572682,1.157076403373258,0.0129371845245436,0.0270997488229257,0.7291668480722672,-0.6836767807543763,0.0667720125493842,0.0685452129444035,-0.0086703490599872,0.1041879218448049,0.24827165453261,0.0169185655219592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.2741716,16499,1743728855,269304514,world,1743728855.2693045,-2.988758740689572,-2.9966034161310717,1.1569891689222638,0.0116803108702568,0.0266169317251252,0.7291001852429267,-0.6837894625995959,0.0649598214402181,0.0740939148704346,-0.0088873662742724,0.0951910499268484,0.2556172212422991,0.026790592424536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.2842803,16500,1743728855,279294491,world,1743728855.2792945,-2.98811452709745,-2.9958498056802,1.156899919203974,0.0104349511273216,0.0260777067223117,0.7290136613129323,-0.6839226174255307,0.0630345571870587,0.0794017485736164,-0.0090596889259301,0.0851439388430403,0.2560873456714778,0.0224495814616506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.2942176,16501,1743728855,289299011,world,1743728855.289299,-2.9874889241213425,-2.9950425968874907,1.1568089401213784,0.0092213055392338,0.0255045324674728,0.7289444595378644,-0.6840354239780412,0.0610014747123595,0.0844743226755617,-0.0091836921051941,0.0773712544400303,0.2562643830862778,0.0174212476898338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.3035731,16502,1743728855,299292326,world,1743728855.2992923,-2.9868845684815115,-2.994186208396465,1.1567169342546286,0.0080218320540702,0.0248996718958312,0.7288826229648043,-0.684138712901063,0.0588745976356789,0.0892977733709419,-0.0092673840361176,0.0757855832830377,0.2645470143015096,0.0249806181645745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
