Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angular_rates.x,angular_rates.y,angular_rates.z,thrust.x,thrust.y,thrust.z
1743729770.2485423,46778,1743729770,248230323,uav/imu,0.7489001936855979,0.8753460514461078,-0.3257353358583574,0.0,0.0,11.682366655021651
1743729770.258298,46779,1743729770,258092369,uav/imu,0.8996674663741331,0.8944793618475535,-0.3120307693185875,0.0,0.0,11.454475422854834
1743729770.2694654,46780,1743729770,268769218,uav/imu,1.041034272639328,0.9151537636842196,-0.3028652905136472,0.0,0.0,11.223364276410246
1743729770.278798,46781,1743729770,278346072,uav/imu,1.174915110425084,0.936414745377866,-0.2947142389076965,0.0,0.0,10.988195265827777
1743729770.288274,46782,1743729770,288030382,uav/imu,1.2998528437240815,0.9585220646247032,-0.27749844096269,0.0,0.0,10.753366644660046
1743729770.300238,46783,1743729770,299647526,uav/imu,1.4147228967507313,0.9823093165575776,-0.2641499781147973,0.0,0.0,10.520771098835816
1743729770.3094046,46784,1743729770,309066011,uav/imu,1.5203974931763458,1.0067125803939752,-0.2589373086163133,0.0,0.0,10.291684143073956
1743729770.318542,46785,1743729770,318313760,uav/imu,1.6173256854572204,1.0316691377222864,-0.2435477368776019,0.0,0.0,10.06949316174629
1743729770.3299174,46786,1743729770,329431368,uav/imu,1.7024530641350113,1.0589881631983853,-0.2269038035349077,0.0,0.0,9.857781868844702
1743729770.3398898,46787,1743729770,339516906,uav/imu,1.7787689004624052,1.0867674642988148,-0.2120010411117758,0.0,0.0,9.654148920671116
1743729770.3486328,46788,1743729770,348287398,uav/imu,1.844333425842364,1.1155754252370542,-0.1925817137023742,0.0,0.0,9.465154682349352
1743729770.3594284,46789,1743729770,358964559,uav/imu,1.8992625609995064,1.1444471427748475,-0.180091370119738,0.0,0.0,9.29090310123022
1743729770.3694837,46790,1743729770,368848953,uav/imu,1.947270408874865,1.1088712182372995,-0.1673654015425082,0.0,0.0,9.20877265876673
1743729770.3784015,46791,1743729770,378140893,uav/imu,1.9835091130404487,1.1903017568104866,-0.1444934262031657,0.0,0.0,8.988545716294423
1743729770.3885689,46792,1743729770,388243063,uav/imu,2.0132349970114767,1.1620512432764003,-0.1362021525626522,0.0,0.0,8.93632804774956
1743729770.3996656,46793,1743729770,398994903,uav/imu,2.023260887664112,1.2437364050012745,-0.1095033557551532,0.0,0.0,8.745816410252003
1743729770.4084964,46794,1743729770,408210832,uav/imu,2.039012023522535,1.2153825877499225,-0.1018625203066974,0.0,0.0,8.728060039283365
1743729770.4183767,46795,1743729770,418169289,uav/imu,2.020447335257145,1.2951289119865552,-0.0833606225181216,0.0,0.0,8.571887013985588
1743729770.4292295,46796,1743729770,428680983,uav/imu,2.024030821308864,1.2655223171265226,-0.0702460766101873,0.0,0.0,8.588853478108643
1743729770.4384854,46797,1743729770,438239796,uav/imu,2.00801990096156,1.2797464276298032,-0.0475711411879392,0.0,0.0,8.530034764647743
1743729770.4485168,46798,1743729770,448144556,uav/imu,1.9753549874968024,1.2988775474562044,-0.0321566756394434,0.0,0.0,8.500694632026773
1743729770.4592242,46799,1743729770,458744438,uav/imu,1.934081012441233,1.316590275138083,-0.0158048445521617,0.0,0.0,8.484382946763704
1743729770.4687643,46800,1743729770,468436778,uav/imu,1.8829144026207505,1.3321667057345024,-0.0024169166340147,0.0,0.0,8.481982619957476
1743729770.4782758,46801,1743729770,478040203,uav/imu,1.8224663530221,1.3453003047528205,0.0169883996863063,0.0,0.0,8.490672116813336
1743729770.488973,46802,1743729770,488581556,uav/imu,1.7530080730751676,1.356446566119443,0.0383033945241767,0.0,0.0,8.509771269929235
1743729770.4987495,46803,1743729770,498611184,uav/imu,1.675441986340269,1.363221271338815,0.0474031779369599,0.0,0.0,8.538974622605611
1743729770.5080802,46804,1743729770,507971819,uav/imu,1.5898277958923148,1.367342598568972,0.0675542935430705,0.0,0.0,8.57557135034672
1743729770.5188415,46805,1743729770,518520752,uav/imu,1.560027612208715,1.313491276599702,0.08056108243739,0.0,0.0,8.665178239611464
1743729770.5293798,46806,1743729770,528954279,uav/imu,1.4012217668416374,1.3553860471420818,0.1045223278816114,0.0,0.0,8.631855785278638
